Name,Gender,DOB,Maths,Physics,Chemistry,English,Biology,Economics,History,Civics
John,M,5/4/1988,55,45,56,87,21,52,89,65
Suresh,M,4/5/1987,75,55,67,64,90,61,58,2
Ramesh,M,25/5/1989,25,54,89,76,95,87,56,74
Jessica,F,12/8/1990,78,55,86,63,54,89,75,45
Jennifer,F,2/9/1989,58,96,78,46,96,77,83,53
Ram,M,2/9/1985,59,95,73,42,98,72,81,56
Ram,M,2/9/1985,59,95,73,42,98,72,81,56
Jessica,F,12/8/1990,78,55,86,63,54,89,75,45
Jennifer,F,2/9/1989,58,96,78,46,96,77,83,53
Ram,M,2/9/1985,59,95,73,42,98,72,81,56Pranjal,M,2/9/1985,59,95,73,42,98,72,81,56
Pranjal,M,2/9/1985,59,95,73,42,98,72,81,56
Anushkar,F,12/8/1990,78,55,86,63,54,89,75,45
Hari,F,2/9/1989,58,96,78,46,96,77,83,53
Ramu,M,2/9/1985,59,95,73,42,98,72,81,56
Sandeep,M,2/9/1985,59,95,73,42,98,72,81,56
Sandeep,M,2/9/1985,59,95,73,42,98,72,81,56Sandeep,M,2/9/1985,59,95,73,42,98,72,81,56
Sandeep,M,2/9/1985,59,95,73,42,98,72,81,56
Sandeep,M,2/9/1985,59,95,73,42,98,72,81,56
